"plot"	"block"	"treenr"	"treatment"	"dbh1"	"dbh2"	"height"	"dead"
7	4	9	"Control"	88	89	NA	NA
7	4	8	"Control"	78	79	NA	NA
7	4	7	"Control"	92	94	NA	NA
7	4	6	"Control"	75	74	NA	NA
7	4	5	"Control"	110	106	NA	NA
7	4	4	"Control"	89	88	NA	NA
7	4	3	"Control"	106	101	NA	NA
7	4	2	"Control"	106	109	NA	NA
7	4	1	"Control"	85	80	NA	NA
7	4	1	"Control"	94	84	NA	NA
7	4	2	"Control"	99	99	NA	NA
7	4	3	"Control"	87	91	NA	NA
7	4	4	"Control"	108	108	NA	NA
7	4	5	"Control"	104	102	NA	NA
7	4	6	"Control"	112	112	NA	NA
7	4	7	"Control"	104	106	NA	NA
7	4	8	"Control"	84	85	NA	NA
7	4	9	"Control"	75	79	NA	NA
7	4	10	"Control"	78	78	NA	NA
7	4	11	"Control"	NA	NA	NA	1
7	4	12	"Control"	95	99	NA	NA
7	4	13	"Control"	106	105	NA	NA
7	4	14	"Control"	108	110	NA	NA
7	4	15	"Control"	55	64	NA	NA
7	4	15	"Control"	86	86	NA	NA
7	4	14	"Control"	82	84	NA	NA
7	4	13	"Control"	52	55	NA	NA
7	4	12	"Control"	112	121	NA	NA
7	4	11	"Control"	106	110	NA	NA
7	4	10	"Control"	100	106	NA	NA
7	4	9	"Control"	91	91	NA	NA
7	4	8	"Control"	84	84	NA	NA
7	4	7	"Control"	74	72	NA	NA
7	4	6	"Control"	75	77	NA	NA
7	4	5	"Control"	77	79	NA	NA
7	4	4	"Control"	75	76	NA	NA
7	4	3	"Control"	114	111	NA	NA
7	4	2	"Control"	119	115	NA	NA
7	4	1	"Control"	76	79	NA	NA
7	4	1	"Control"	102	101	NA	NA
7	4	2	"Control"	128	132	NA	NA
7	4	3	"Control"	NA	NA	NA	1
7	4	4	"Control"	82	82	NA	NA
7	4	5	"Control"	88	90	NA	NA
7	4	6	"Control"	100	101	NA	NA
7	4	7	"Control"	84	82	NA	NA
7	4	8	"Control"	96	92	NA	NA
7	4	9	"Control"	86	87	NA	NA
7	4	10	"Control"	80	81	NA	NA
7	4	11	"Control"	NA	NA	NA	1
7	4	12	"Control"	98	102	NA	NA
7	4	13	"Control"	NA	NA	NA	1
7	4	14	"Control"	76	75	NA	NA
8	3	1	"Deep"	99	102	NA	NA
8	3	2	"Deep"	NA	NA	NA	1
8	3	3	"Deep"	106	104	NA	NA
8	3	4	"Deep"	44	47	NA	NA
8	3	5	"Deep"	105	102	NA	NA
8	3	6	"Deep"	114	114	102	NA
8	3	7	"Deep"	104	102	NA	NA
8	3	8	"Deep"	91	89	NA	NA
8	3	9	"Deep"	91	94	NA	NA
8	3	10	"Deep"	88	89	NA	NA
8	3	11	"Deep"	100	96	123	NA
8	3	12	"Deep"	106	104	NA	NA
8	3	13	"Deep"	100	99	NA	NA
8	3	14	"Deep"	82	81	NA	NA
8	3	15	"Deep"	140	133	NA	NA
8	3	15	"Deep"	120	121	NA	NA
8	3	14	"Deep"	114	111	102	NA
8	3	13	"Deep"	112	111	NA	NA
8	3	12	"Deep"	116	119	NA	NA
8	3	11	"Deep"	111	111	NA	NA
8	3	10	"Deep"	118	120	NA	NA
8	3	9	"Deep"	98	97	96	NA
8	3	8	"Deep"	91	88	NA	NA
8	3	7	"Deep"	98	102	NA	NA
8	3	6	"Deep"	102	105	NA	NA
8	3	5	"Deep"	71	68	NA	NA
8	3	4	"Deep"	94	98	NA	NA
8	3	3	"Deep"	101	104	NA	NA
8	3	2	"Deep"	131	134	NA	NA
8	3	1	"Deep"	NA	NA	NA	1
8	3	1	"Deep"	115	110	NA	NA
8	3	2	"Deep"	112	114	NA	NA
8	3	3	"Deep"	99	99	100	NA
8	3	4	"Deep"	82	84	NA	NA
8	3	5	"Deep"	112	116	NA	NA
8	3	6	"Deep"	96	95	NA	NA
8	3	7	"Deep"	81	80	NA	NA
8	3	8	"Deep"	119	112	90	NA
8	3	9	"Deep"	109	106	NA	NA
8	3	10	"Deep"	120	119	NA	NA
8	3	11	"Deep"	106	107	NA	NA
8	3	12	"Deep"	109	112	NA	NA
8	3	13	"Deep"	116	121	113	NA
8	3	14	"Deep"	99	100	NA	NA
8	3	15	"Deep"	104	99	NA	NA
8	3	15	"Deep"	122	124	NA	NA
8	3	14	"Deep"	116	116	NA	NA
8	3	13	"Deep"	65	65	76	NA
8	3	12	"Deep"	140	135	NA	NA
8	3	11	"Deep"	131	132	NA	NA
8	3	10	"Deep"	111	116	NA	NA
8	3	9	"Deep"	117	123	NA	NA
8	3	8	"Deep"	95	96	94	NA
8	3	7	"Deep"	98	96	NA	NA
8	3	6	"Deep"	112	110	NA	NA
8	3	5	"Deep"	101	102	NA	NA
8	3	4	"Deep"	112	115	NA	NA
8	3	3	"Deep"	122	122	110	NA
8	3	2	"Deep"	117	116	NA	NA
8	3	1	"Deep"	94	94	NA	NA
8	3	1	"Deep"	112	110	NA	NA
8	3	2	"Deep"	95	101	NA	NA
8	3	3	"Deep"	98	104	117	NA
8	3	4	"Deep"	107	110	NA	NA
8	3	5	"Deep"	91	94	NA	NA
8	3	6	"Deep"	100	101	NA	NA
8	3	7	"Deep"	122	129	NA	NA
8	3	8	"Deep"	100	104	NA	NA
8	3	9	"Deep"	112	111	NA	NA
8	3	10	"Deep"	81	80	NA	NA
8	3	11	"Deep"	91	94	NA	NA
8	3	12	"Deep"	84	85	NA	NA
8	3	13	"Deep"	104	102	102	NA
8	3	14	"Deep"	110	109	NA	NA
8	3	15	"Deep"	131	127	NA	NA
8	3	15	"Deep"	124	125	NA	NA
8	3	14	"Deep"	104	104	NA	NA
8	3	13	"Deep"	98	100	108	NA
8	3	12	"Deep"	97	94	NA	NA
8	3	11	"Deep"	116	117	NA	NA
8	3	10	"Deep"	112	114	NA	NA
8	3	9	"Deep"	102	98	NA	NA
8	3	8	"Deep"	118	114	115	NA
8	3	7	"Deep"	107	108	NA	NA
8	3	6	"Deep"	114	125	NA	NA
8	3	5	"Deep"	97	98	NA	NA
8	3	4	"Deep"	137	134	NA	NA
8	3	3	"Deep"	115	116	108	NA
8	3	2	"Deep"	116	114	NA	NA
8	3	1	"Deep"	108	114	NA	NA
8	3	1	"Deep"	119	121	NA	NA
8	3	2	"Deep"	82	85	NA	NA
8	3	3	"Deep"	91	94	94	NA
8	3	4	"Deep"	87	85	NA	NA
8	3	5	"Deep"	114	114	NA	NA
8	3	6	"Deep"	114	116	NA	NA
8	3	7	"Deep"	101	106	NA	NA
8	3	8	"Deep"	91	92	97	NA
8	3	9	"Deep"	109	116	NA	NA
8	3	10	"Deep"	112	114	NA	NA
8	3	11	"Deep"	106	108	NA	NA
8	3	12	"Deep"	112	117	NA	NA
8	3	13	"Deep"	92	91	NA	NA
8	3	14	"Deep"	112	111	NA	NA
8	3	15	"Deep"	126	131	NA	NA
8	3	15	"Deep"	124	126	NA	NA
8	3	14	"Deep"	107	111	NA	NA
8	3	13	"Deep"	95	96	105	NA
8	3	12	"Deep"	84	88	NA	NA
8	3	11	"Deep"	110	111	NA	NA
8	3	10	"Deep"	101	101	NA	NA
8	3	9	"Deep"	106	104	NA	NA
8	3	8	"Deep"	110	112	117	NA
8	3	7	"Deep"	81	84	NA	NA
8	3	6	"Deep"	104	106	NA	NA
8	3	5	"Deep"	108	100	NA	NA
8	3	4	"Deep"	106	109	NA	NA
8	3	3	"Deep"	135	134	115	NA
8	3	2	"Deep"	109	109	NA	NA
8	3	1	"Deep"	104	102	NA	NA
8	3	1	"Deep"	94	95	NA	NA
8	3	2	"Deep"	119	118	NA	NA
8	3	3	"Deep"	115	119	103	NA
8	3	4	"Deep"	70	71	NA	NA
8	3	5	"Deep"	117	119	NA	NA
8	3	6	"Deep"	131	134	NA	NA
8	3	7	"Deep"	84	87	NA	NA
8	3	8	"Deep"	91	94	115	NA
8	3	9	"Deep"	99	97	NA	NA
8	3	10	"Deep"	104	108	NA	NA
8	3	11	"Deep"	96	94	NA	NA
8	3	12	"Deep"	109	109	NA	NA
8	3	13	"Deep"	97	98	NA	NA
8	3	14	"Deep"	114	112	NA	NA
8	3	15	"Deep"	118	129	NA	NA
8	3	15	"Deep"	107	105	NA	NA
8	3	14	"Deep"	104	107	NA	NA
8	3	13	"Deep"	88	81	106	NA
8	3	12	"Deep"	133	132	NA	NA
8	3	11	"Deep"	124	119	NA	NA
8	3	10	"Deep"	104	105	NA	NA
8	3	9	"Deep"	114	111	NA	NA
8	3	8	"Deep"	107	112	NA	NA
8	3	7	"Deep"	105	105	111	NA
8	3	6	"Deep"	108	110	NA	NA
8	3	5	"Deep"	102	100	NA	NA
8	3	4	"Deep"	110	112	NA	NA
8	3	3	"Deep"	64	62	NA	NA
8	3	2	"Deep"	120	118	108	NA
8	3	1	"Deep"	101	105	NA	NA
8	3	1	"Deep"	107	115	NA	NA
8	3	2	"Deep"	78	81	NA	NA
8	3	3	"Deep"	86	87	NA	NA
8	3	4	"Deep"	128	129	120	NA
8	3	5	"Deep"	99	104	NA	NA
8	3	6	"Deep"	129	127	NA	NA
8	3	7	"Deep"	112	114	NA	NA
8	3	8	"Deep"	139	136	NA	NA
8	3	9	"Deep"	98	97	NA	NA
8	3	10	"Deep"	119	116	113	NA
8	3	11	"Deep"	137	135	NA	NA
8	3	12	"Deep"	124	120	NA	NA
8	3	13	"Deep"	84	85	NA	NA
8	3	14	"Deep"	119	124	NA	NA
8	3	15	"Deep"	124	105	113	NA
8	3	15	"Deep"	104	107	NA	NA
8	3	14	"Deep"	102	101	NA	NA
8	3	13	"Deep"	97	98	NA	NA
8	3	12	"Deep"	122	127	NA	NA
8	3	11	"Deep"	132	131	115	NA
8	3	10	"Deep"	127	131	NA	NA
8	3	9	"Deep"	104	104	NA	NA
8	3	8	"Deep"	106	106	NA	NA
8	3	7	"Deep"	100	105	NA	NA
8	3	6	"Deep"	125	124	118	NA
8	3	5	"Deep"	77	79	NA	NA
8	3	4	"Deep"	102	104	NA	NA
8	3	3	"Deep"	104	104	NA	NA
8	3	2	"Deep"	117	119	NA	NA
8	3	1	"Deep"	115	114	123	NA
8	3	1	"Deep"	112	132	NA	NA
8	3	2	"Deep"	121	122	NA	NA
8	3	3	"Deep"	97	99	NA	NA
8	3	4	"Deep"	109	112	NA	NA
8	3	5	"Deep"	108	120	118	NA
8	3	6	"Deep"	106	109	NA	NA
8	3	7	"Deep"	100	100	NA	NA
8	3	8	"Deep"	114	116	NA	NA
8	3	9	"Deep"	104	109	NA	NA
8	3	10	"Deep"	122	126	115	NA
8	3	11	"Deep"	92	94	NA	NA
8	3	12	"Deep"	105	106	NA	NA
8	3	13	"Deep"	118	117	NA	NA
8	3	14	"Deep"	126	129	NA	NA
8	3	15	"Deep"	101	102	101	NA
8	3	15	"Deep"	99	97	NA	NA
8	3	14	"Deep"	117	117	NA	NA
8	3	13	"Deep"	NA	NA	NA	1
8	3	12	"Deep"	114	116	NA	NA
8	3	11	"Deep"	125	127	NA	NA
8	3	10	"Deep"	122	119	126	NA
8	3	9	"Deep"	126	124	NA	NA
8	3	8	"Deep"	122	118	NA	NA
8	3	7	"Deep"	101	92	NA	NA
8	3	6	"Deep"	91	89	NA	NA
8	3	5	"Deep"	120	119	NA	NA
8	3	4	"Deep"	125	125	102	NA
8	3	3	"Deep"	104	105	NA	NA
8	3	2	"Deep"	104	109	NA	NA
8	3	1	"Deep"	134	133	NA	NA
8	3	1	"Deep"	104	104	NA	NA
8	3	2	"Deep"	119	117	105	NA
8	3	3	"Deep"	109	110	NA	NA
8	3	4	"Deep"	132	129	NA	NA
8	3	5	"Deep"	134	132	NA	NA
8	3	6	"Deep"	125	131	NA	NA
8	3	7	"Deep"	142	141	115	NA
8	3	8	"Deep"	119	118	NA	NA
8	3	9	"Deep"	141	142	NA	NA
8	3	10	"Deep"	128	134	NA	NA
8	3	11	"Deep"	124	127	NA	NA
8	3	12	"Deep"	120	124	118	NA
8	3	13	"Deep"	121	122	NA	NA
8	3	14	"Deep"	91	85	NA	NA
8	3	14	"Deep"	129	131	NA	NA
